date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:24	88292/88292	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:17%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index.html	(from )
10:12:27	114/114	---M-Z	200	added ('OK')	text/plain	date:Thu,%2021%20Jun%202018%2003:12:26%20GMT	https://wrappixel.com/robots.txt		(from )
10:12:28	1246/1246	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202018%2012:27:02%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/favicon.png	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/favicon.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:29	144877/144877	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2012:33:51%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:30	10878/10878	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2012:35:39%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/chartist-js/dist/chartist.min.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/chartist-js/dist/chartist.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:30	2571/2571	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2012:35:36%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/chartist-js/dist/chartist-init.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/chartist-js/dist/chartist-init.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:31	795/795	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2012:35:43%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:31	2043/2043	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2012:28:29%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/c3-master/c3.min.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/c3-master/c3.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:32	225571/225571	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20May%202018%2011:32:05%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/css/style.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/css/style.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:33	3469/3469	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2012:05:45%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/css/colors/blue.css	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/css/colors/blue.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:34	88292/88292	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:17%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/index.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index-2.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:36	1505/1505	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202018%2012:27:03%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-icon.png	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-icon.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:37	1405/1405	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202018%2012:27:03%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-light-icon.png	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-light-icon.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:37	1863/1863	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202018%2012:27:04%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-text.png	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-text.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:37	1892/1892	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202018%2012:27:04%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-light-text.png	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/logo-light-text.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:40	83968/83968	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:21%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img1.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img1.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:41	30932/30932	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:21%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img3.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img3.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
